Resortní identifikátor školy,Kód místa,Místo poskytovaného vzdìlávání,Resortní identifikátor právnické osoby,Kód oboru vzdìlání,Název oboru vzdìlání,Poèet žákù daného oboru
102266239,573922,Broumov,600012107,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102266247,573868,Náchod,600012115,7941K41,Gymnázium,237
102266247,573868,Náchod,600012115,7941K81,Gymnázium,463
102266247,573868,Náchod,600012115,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,700
102266247,573868,Náchod,600012115,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102266255,574121,Jaromìø,600012123,7941K41,Gymnázium,93
102266255,574121,Jaromìø,600012123,7941K81,Gymnázium,223
102266255,574121,Jaromìø,600012123,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,316
102266255,574121,Jaromìø,600012123,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102266271,573868,Náchod,691012415,1820M01,Informaèní technologie,42
102266271,573868,Náchod,691012415,2355H01,Klempíø,5
102266271,573868,Náchod,691012415,3647M01,Stavebnictví,100
102266271,573868,Náchod,691012415,3664H01,Tesaø,9
102266271,573868,Náchod,691012415,3667H01,Zedník,10
102266271,573868,Náchod,691012415,6341M02,Obchodní akademie,178
102266271,573868,Náchod,691012415,6341M02,Obchodní akademie,0
102266271,573868,Náchod,691012415,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,220
102266271,573868,Náchod,691012415,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,124
102266271,573868,Náchod,691012415,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,0
102266271,573868,Náchod,691012415,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102266271,573868,Náchod,691012415,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102266271,573868,Náchod,691012415,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102730148,576590,Opoèno,600024211,2351E01,Strojírenské práce,40
102730148,574279,Nové Mìsto nad Metují,600024211,2951E01,Potravináøská výroba,18
102730148,576590,Opoèno,600024211,4151E01,Zemìdìlské práce,12
102730148,576590,Opoèno,600024211,4152E01,Zahradnické práce,15
102730148,576590,Opoèno,600024211,4155E01,Opraváøské práce,5
102730148,574279,Nové Mìsto nad Metují,600024211,6551E01,Strav.a ubyt.služby,32
102730148,576590,Opoèno,600024211,6551E01,Strav.a ubyt.služby,0
102730148,573922,Broumov,600024211,6551E01,Strav.a ubyt.služby,11
102730148,576590,Opoèno,600024211,6651E01,Prodavaèské práce,22
102730148,573922,Broumov,600024211,6651E01,Prodavaèské práce,19
102730148,574279,Nové Mìsto nad Metují,600024211,6954E01,Provozní služby,11
102730148,574279,Nové Mìsto nad Metují,600024211,7541E01,Peèovatelské služby,8
102730148,573922,Broumov,600024211,2951E02,Potravináøské práce,5
102730148,574279,Nové Mìsto nad Metují,600024211,2951E02,Potravináøské práce,12
102730148,574279,Nové Mìsto nad Metují,600024211,3159E02,Šití prádla,4
102730148,574279,Nové Mìsto nad Metují,600024211,1820M01,Informaèní technologie,34
102730148,574279,Nové Mìsto nad Metují,600024211,2341M01,Strojírenství,30
102730148,574279,Nové Mìsto nad Metují,600024211,2345L01,Mechanik seøizovaè,13
102730148,574279,Nové Mìsto nad Metují,600024211,2351H01,Strojní mechanik,11
102730148,574279,Nové Mìsto nad Metují,600024211,2355H02,Karosáø,22
102730148,574279,Nové Mìsto nad Metují,600024211,2356H01,Obrábìè kovù,10
102730148,574279,Nové Mìsto nad Metují,600024211,2651H02,Elektrikáø-silnoproud,0
102730148,574279,Nové Mìsto nad Metují,600024211,2954H01,Cukráø,12
102730148,574279,Nové Mìsto nad Metují,600024211,3356H01,Truhláø,0
102730148,574279,Nové Mìsto nad Metují,600024211,6441L51,Podnikání,0
102730148,574279,Nové Mìsto nad Metují,600024211,6541L01,Gastronomie,19
102730148,574279,Nové Mìsto nad Metují,600024211,6551H01,Kuchaø-èíšník,15
102730148,574279,Nové Mìsto nad Metují,600024211,6951H01,Kadeøník,48
102730148,574279,Nové Mìsto nad Metují,600024211,7862C02,Praktická škola dvouletá,10
102730148,574279,Nové Mìsto nad Metují,600024211,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,10
102730148,574279,Nové Mìsto nad Metují,600024211,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,214
102730148,576590,Opoèno,600024211,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,94
102730148,573922,Broumov,600024211,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,35
102730148,574279,Nové Mìsto nad Metují,600024211,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,15
102730148,574279,Nové Mìsto nad Metují,600024211,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,70
102730148,574279,Nové Mìsto nad Metují,600024211,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102730148,576590,Opoèno,600024211,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102730148,573922,Broumov,600024211,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102730148,574279,Nové Mìsto nad Metují,600024211,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102730148,574279,Nové Mìsto nad Metují,600024211,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
102730148,574279,Nové Mìsto nad Metují,600024211,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
107860601,574121,Jaromìø,600012158,3356H01,Truhláø,46
107860601,574121,Jaromìø,600012158,3359H01,Èalouník,10
107860601,574121,Jaromìø,600012158,3664H01,Tesaø,34
107860601,574121,Jaromìø,600012158,4154H01,Podkováø a zemìd.kováø,21
107860601,574121,Jaromìø,600012158,4155H01,Opraváø zemìdìl.strojù,73
107860601,574121,Jaromìø,600012158,6441L51,Podnikání,20
107860601,574121,Jaromìø,600012158,8251H01,Umìlecký kováø a zámeèník,42
107860601,574121,Jaromìø,600012158,8251H04,Umìlecký keramik,20
107860601,574121,Jaromìø,600012158,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,266
107860601,574121,Jaromìø,600012158,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
108007863,569810,Hradec Králové,600011801,4341M01,Veterináøství,377
108007863,569810,Hradec Králové,600011801,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,377
108007863,569810,Hradec Králové,600011801,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
108026761,579203,Dvùr Králové nad Labem,600024695,7862C02,Praktická škola dvouletá,30
108026761,579203,Dvùr Králové nad Labem,600024695,SDFO,Celkem v denní formì vzdìlávání - poèet fyzických osob,30
108026761,579203,Dvùr Králové nad Labem,600024695,SNFO,Celkem v ostatních formách - poèet fyzických osob,0
110010264,579025,Trutnov,600019829,5341M01,Zdravotnický asistent,134
110010264,579025,Trutnov,600019829,5341M01,Zdravotnický asistent,22
110010264,579025,Trutnov,600019829,5341M03,Praktická sestra,60
110010264,579025,Trutnov,600019829,5341M03,Praktická sestra,25
110010264,579025,Trutnov,600019829,6341M02,Obchodní akademie,196
110010264,579025,Trutnov,600019829,6341M02,Obchodní akademie,0
110010264,579025,Trutnov,600019829,7842M04,Zdravotnické lyceum,114
